x,y
0.21,0.1
0.21,0.10080080080080081
0.21,0.1016016016016016
0.21,0.1024024024024024
0.21,0.10320320320320321
0.21,0.104004004004004
0.21,0.10480480480480481
0.21,0.10560560560560561
0.21,0.10640640640640642
0.21,0.10720720720720721
0.21,0.10800800800800801
0.21,0.10880880880880882
0.21,0.10960960960960961
0.21,0.11041041041041041
0.21,0.11121121121121122
0.21,0.11201201201201202
0.21,0.11281281281281282
0.21,0.11361361361361362
0.21,0.11441441441441443
0.21,0.11521521521521522
0.21,0.11601601601601602
0.21,0.11681681681681683
0.21,0.11761761761761763
0.21,0.11841841841841842
0.21,0.11921921921921923
0.21,0.12002002002002002
0.21,0.12082082082082082
0.21,0.12162162162162163
0.21,0.12242242242242243
0.21,0.12322322322322324
0.21,0.12402402402402403
0.21,0.12482482482482483
0.21,0.12562562562562563
0.21,0.12642642642642643
0.21,0.12722722722722724
0.21,0.12802802802802804
0.21,0.12882882882882885
0.21,0.12962962962962965
0.21,0.13043043043043043
0.21,0.13123123123123123
0.21,0.13203203203203204
0.21,0.13283283283283284
0.21,0.13363363363363365
0.21,0.13443443443443442
0.21,0.13523523523523523
0.21,0.13603603603603603
0.21,0.13683683683683684
0.21,0.13763763763763764
0.21,0.13843843843843845
0.21,0.13923923923923925
0.21,0.14004004004004006
0.21,0.14084084084084086
0.21,0.14164164164164164
0.21,0.14244244244244245
0.21,0.14324324324324325
0.21,0.14404404404404406
0.21,0.14484484484484486
0.21,0.14564564564564564
0.21,0.14644644644644644
0.21,0.14724724724724725
0.21,0.14804804804804805
0.21,0.14884884884884886
0.21,0.14964964964964966
0.21,0.15045045045045047
0.21,0.15125125125125127
0.21,0.15205205205205205
0.21,0.15285285285285286
0.21,0.15365365365365366
0.21,0.15445445445445447
0.21,0.15525525525525527
0.21,0.15605605605605605
0.21,0.15685685685685685
0.21,0.15765765765765766
0.21,0.15845845845845846
0.21,0.15925925925925927
0.21,0.16006006006006007
0.21,0.16086086086086088
0.21,0.16166166166166168
0.21,0.1624624624624625
0.21,0.1632632632632633
0.21,0.16406406406406407
0.21,0.16486486486486487
0.21,0.16566566566566568
0.21,0.16646646646646646
0.21,0.16726726726726726
0.21,0.16806806806806807
0.21,0.16886886886886887
0.21,0.16966966966966968
0.21,0.17047047047047048
0.21,0.17127127127127129
0.21,0.1720720720720721
0.21,0.1728728728728729
0.21,0.1736736736736737
0.21,0.17447447447447448
0.21,0.17527527527527528
0.21,0.1760760760760761
0.21,0.1768768768768769
0.21,0.17767767767767767
0.21,0.17847847847847848
0.21,0.17927927927927928
0.21,0.18008008008008008
0.21,0.1808808808808809
0.21,0.1816816816816817
0.21,0.1824824824824825
0.21,0.1832832832832833
0.21,0.1840840840840841
0.21,0.18488488488488491
0.21,0.1856856856856857
0.21,0.1864864864864865
0.21,0.1872872872872873
0.21,0.18808808808808808
0.21,0.18888888888888888
0.21,0.1896896896896897
0.21,0.1904904904904905
0.21,0.1912912912912913
0.21,0.1920920920920921
0.21,0.1928928928928929
0.21,0.1936936936936937
0.21,0.19449449449449452
0.21,0.19529529529529532
0.21,0.1960960960960961
0.21,0.1968968968968969
0.21,0.1976976976976977
0.21,0.1984984984984985
0.21,0.1992992992992993
0.21,0.2001001001001001
0.21,0.2009009009009009
0.21,0.2017017017017017
0.21,0.2025025025025025
0.21,0.20330330330330332
0.21,0.20410410410410412
0.21,0.20490490490490493
0.21,0.20570570570570573
0.21,0.20650650650650654
0.21,0.20730730730730731
0.21,0.20810810810810812
0.21,0.20890890890890892
0.21,0.2097097097097097
0.21,0.2105105105105105
0.21,0.2113113113113113
0.21,0.21211211211211212
0.21,0.21291291291291292
0.21,0.21371371371371373
0.21,0.21451451451451453
0.21,0.21531531531531534
0.21,0.21611611611611614
0.21,0.21691691691691695
0.21,0.21771771771771772
0.21,0.21851851851851853
0.21,0.21931931931931933
0.21,0.2201201201201201
0.21,0.22092092092092092
0.21,0.22172172172172172
0.21,0.22252252252252253
0.21,0.22332332332332333
0.21,0.22412412412412414
0.21,0.22492492492492494
0.21,0.22572572572572575
0.21,0.22652652652652655
0.21,0.22732732732732733
0.21,0.22812812812812813
0.21,0.22892892892892894
0.21,0.22972972972972974
0.21,0.23053053053053055
0.21,0.23133133133133135
0.21,0.23213213213213216
0.21,0.23293293293293293
0.21,0.23373373373373374
0.21,0.23453453453453454
0.21,0.23533533533533535
0.21,0.23613613613613615
0.21,0.23693693693693696
0.21,0.23773773773773774
0.21,0.23853853853853854
